"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_google_search_urquiza","","Mon Apr 06 06:17:56 UTC 2026","broken","Mon Apr 06 06:17:56 UTC 2026","","test_03_google_búsqueda","",""
"","3109","test_login_and_purchase","","Mon Apr 06 06:17:57 UTC 2026","passed","Mon Apr 06 06:18:00 UTC 2026","","test_04_compra_saucedemo","",""
"","0","test_submit_textbox_form","","Mon Apr 06 06:17:56 UTC 2026","broken","Mon Apr 06 06:17:56 UTC 2026","","test_02_xpath_simple","",""
"","659","test_login_and_purchase","","Mon Apr 06 06:18:00 UTC 2026","failed","Mon Apr 06 06:18:01 UTC 2026","","test_05_compra_saucedemo_error","",""
"","971","test_carrito_suma_total","","Mon Apr 06 06:18:01 UTC 2026","passed","Mon Apr 06 06:18:02 UTC 2026","","test_06_validacion_carrito","",""
"","0","test_text_box_submission","","Mon Apr 06 06:17:55 UTC 2026","broken","Mon Apr 06 06:17:55 UTC 2026","","test_01_xpath","",""
