"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","893","test_carrito_suma_total","","Thu Apr 02 05:50:49 UTC 2026","passed","Thu Apr 02 05:50:50 UTC 2026","","test_06_validacion_carrito","",""
"","0","test_submit_textbox_form","","Thu Apr 02 05:50:40 UTC 2026","broken","Thu Apr 02 05:50:40 UTC 2026","","test_02_xpath_simple","",""
"","0","test_google_search_urquiza","","Thu Apr 02 05:50:40 UTC 2026","broken","Thu Apr 02 05:50:40 UTC 2026","","test_03_google_búsqueda","",""
"","604","test_login_and_purchase","","Thu Apr 02 05:50:48 UTC 2026","failed","Thu Apr 02 05:50:48 UTC 2026","","test_05_compra_saucedemo_error","",""
"","0","test_text_box_submission","","Thu Apr 02 05:50:36 UTC 2026","broken","Thu Apr 02 05:50:36 UTC 2026","","test_01_xpath","",""
"","3282","test_login_and_purchase","","Thu Apr 02 05:50:44 UTC 2026","passed","Thu Apr 02 05:50:47 UTC 2026","","test_04_compra_saucedemo","",""
