"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","482","test_login_and_purchase","","2026-09-22","failed","2026-09-22","","test_05_compra_saucedemo_error","",""
"","0","test_submit_textbox_form","","2026-09-22","broken","2026-09-22","","test_02_xpath_simple","",""
"","0","test_google_search_urquiza","","2026-09-22","broken","2026-09-22","","test_03_google_búsqueda","",""
"","3249","test_login_and_purchase","","2026-09-22","passed","2026-09-22","","test_04_compra_saucedemo","",""
"","0","test_text_box_submission","","2026-09-22","broken","2026-09-22","","test_01_xpath","",""
"","533","test_carrito_suma_total","","2026-09-22","broken","2026-09-22","","test_06_validacion_carrito","",""
