"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_google_search_urquiza","","Wed Mar 18 05:20:47 UTC 2026","broken","Wed Mar 18 05:20:47 UTC 2026","","test_03_google_búsqueda","",""
"","616","test_login_and_purchase","","Wed Mar 18 05:20:57 UTC 2026","failed","Wed Mar 18 05:20:57 UTC 2026","","test_05_compra_saucedemo_error","",""
"","4236","test_login_and_purchase","","Wed Mar 18 05:20:52 UTC 2026","passed","Wed Mar 18 05:20:56 UTC 2026","","test_04_compra_saucedemo","",""
"","0","test_submit_textbox_form","","Wed Mar 18 05:20:47 UTC 2026","broken","Wed Mar 18 05:20:47 UTC 2026","","test_02_xpath_simple","",""
"","0","test_text_box_submission","","Wed Mar 18 05:20:40 UTC 2026","broken","Wed Mar 18 05:20:40 UTC 2026","","test_01_xpath","",""
