"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","965","test_carrito_suma_total","","Fri May 22 02:09:27 UTC 2026","passed","Fri May 22 02:09:28 UTC 2026","","test_06_validacion_carrito","",""
"","0","test_google_search_urquiza","","Fri May 22 02:09:07 UTC 2026","broken","Fri May 22 02:09:07 UTC 2026","","test_03_google_búsqueda","",""
"","0","test_text_box_submission","","Fri May 22 02:08:52 UTC 2026","broken","Fri May 22 02:08:52 UTC 2026","","test_01_xpath","",""
"","0","test_submit_textbox_form","","Fri May 22 02:09:07 UTC 2026","broken","Fri May 22 02:09:07 UTC 2026","","test_02_xpath_simple","",""
"","6548","test_login_and_purchase","","Fri May 22 02:09:19 UTC 2026","passed","Fri May 22 02:09:26 UTC 2026","","test_04_compra_saucedemo","",""
"","653","test_login_and_purchase","","Fri May 22 02:09:26 UTC 2026","failed","Fri May 22 02:09:27 UTC 2026","","test_05_compra_saucedemo_error","",""
