"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_google_search_urquiza","","Wed Apr 08 06:00:28 UTC 2026","broken","Wed Apr 08 06:00:28 UTC 2026","","test_03_google_búsqueda","",""
"","3199","test_login_and_purchase","","Wed Apr 08 06:00:31 UTC 2026","passed","Wed Apr 08 06:00:34 UTC 2026","","test_04_compra_saucedemo","",""
"","0","test_text_box_submission","","Wed Apr 08 06:00:25 UTC 2026","broken","Wed Apr 08 06:00:25 UTC 2026","","test_01_xpath","",""
"","909","test_carrito_suma_total","","Wed Apr 08 06:00:35 UTC 2026","passed","Wed Apr 08 06:00:36 UTC 2026","","test_06_validacion_carrito","",""
"","675","test_login_and_purchase","","Wed Apr 08 06:00:34 UTC 2026","failed","Wed Apr 08 06:00:35 UTC 2026","","test_05_compra_saucedemo_error","",""
"","0","test_submit_textbox_form","","Wed Apr 08 06:00:28 UTC 2026","broken","Wed Apr 08 06:00:28 UTC 2026","","test_02_xpath_simple","",""
