"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_text_box_submission","","Thu Mar 26 05:51:13 UTC 2026","broken","Thu Mar 26 05:51:13 UTC 2026","","test_01_xpath","",""
"","0","test_google_search_urquiza","","Thu Mar 26 05:51:18 UTC 2026","broken","Thu Mar 26 05:51:18 UTC 2026","","test_03_google_búsqueda","",""
"","0","test_submit_textbox_form","","Thu Mar 26 05:51:18 UTC 2026","broken","Thu Mar 26 05:51:18 UTC 2026","","test_02_xpath_simple","",""
"","3256","test_login_and_purchase","","Thu Mar 26 05:51:20 UTC 2026","passed","Thu Mar 26 05:51:23 UTC 2026","","test_04_compra_saucedemo","",""
"","639","test_login_and_purchase","","Thu Mar 26 05:51:24 UTC 2026","failed","Thu Mar 26 05:51:24 UTC 2026","","test_05_compra_saucedemo_error","",""
"","948","test_carrito_suma_total","","Thu Mar 26 05:51:25 UTC 2026","passed","Thu Mar 26 05:51:26 UTC 2026","","test_06_validacion_carrito","",""
