"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_text_box_submission","","Sat Apr 11 05:18:25 UTC 2026","broken","Sat Apr 11 05:18:25 UTC 2026","","test_01_xpath","",""
"","890","test_carrito_suma_total","","Sat Apr 11 05:18:37 UTC 2026","passed","Sat Apr 11 05:18:37 UTC 2026","","test_06_validacion_carrito","",""
"","603","test_login_and_purchase","","Sat Apr 11 05:18:35 UTC 2026","failed","Sat Apr 11 05:18:36 UTC 2026","","test_05_compra_saucedemo_error","",""
"","0","test_google_search_urquiza","","Sat Apr 11 05:18:30 UTC 2026","broken","Sat Apr 11 05:18:30 UTC 2026","","test_03_google_búsqueda","",""
"","3348","test_login_and_purchase","","Sat Apr 11 05:18:32 UTC 2026","passed","Sat Apr 11 05:18:35 UTC 2026","","test_04_compra_saucedemo","",""
"","0","test_submit_textbox_form","","Sat Apr 11 05:18:30 UTC 2026","broken","Sat Apr 11 05:18:30 UTC 2026","","test_02_xpath_simple","",""
