"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4025","test_login_and_purchase","","Mon Mar 23 05:47:49 UTC 2026","passed","Mon Mar 23 05:47:53 UTC 2026","","test_04_compra_saucedemo","",""
"","901","test_carrito_suma_total","","Mon Mar 23 05:47:54 UTC 2026","passed","Mon Mar 23 05:47:55 UTC 2026","","test_06_validacion_carrito","",""
"","0","test_submit_textbox_form","","Mon Mar 23 05:47:44 UTC 2026","broken","Mon Mar 23 05:47:44 UTC 2026","","test_02_xpath_simple","",""
"","0","test_text_box_submission","","Mon Mar 23 05:47:39 UTC 2026","broken","Mon Mar 23 05:47:39 UTC 2026","","test_01_xpath","",""
"","600","test_login_and_purchase","","Mon Mar 23 05:47:53 UTC 2026","failed","Mon Mar 23 05:47:54 UTC 2026","","test_05_compra_saucedemo_error","",""
"","0","test_google_search_urquiza","","Mon Mar 23 05:47:44 UTC 2026","broken","Mon Mar 23 05:47:44 UTC 2026","","test_03_google_búsqueda","",""
