"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","659","test_login_and_purchase","","Sun Mar 29 05:53:45 UTC 2026","failed","Sun Mar 29 05:53:46 UTC 2026","","test_05_compra_saucedemo_error","",""
"","959","test_carrito_suma_total","","Sun Mar 29 05:53:46 UTC 2026","passed","Sun Mar 29 05:53:47 UTC 2026","","test_06_validacion_carrito","",""
"","0","test_text_box_submission","","Sun Mar 29 05:53:36 UTC 2026","broken","Sun Mar 29 05:53:36 UTC 2026","","test_01_xpath","",""
"","0","test_submit_textbox_form","","Sun Mar 29 05:53:40 UTC 2026","broken","Sun Mar 29 05:53:40 UTC 2026","","test_02_xpath_simple","",""
"","3120","test_login_and_purchase","","Sun Mar 29 05:53:42 UTC 2026","passed","Sun Mar 29 05:53:45 UTC 2026","","test_04_compra_saucedemo","",""
"","0","test_google_search_urquiza","","Sun Mar 29 05:53:40 UTC 2026","broken","Sun Mar 29 05:53:40 UTC 2026","","test_03_google_búsqueda","",""
