"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","981","test_carrito_suma_total","","Fri Apr 24 01:27:20 UTC 2026","passed","Fri Apr 24 01:27:21 UTC 2026","","test_06_validacion_carrito","",""
"","0","test_text_box_submission","","Fri Apr 24 01:27:14 UTC 2026","broken","Fri Apr 24 01:27:14 UTC 2026","","test_01_xpath","",""
"","0","test_google_search_urquiza","","Fri Apr 24 01:27:15 UTC 2026","broken","Fri Apr 24 01:27:15 UTC 2026","","test_03_google_búsqueda","",""
"","0","test_submit_textbox_form","","Fri Apr 24 01:27:14 UTC 2026","broken","Fri Apr 24 01:27:14 UTC 2026","","test_02_xpath_simple","",""
"","3128","test_login_and_purchase","","Fri Apr 24 01:27:15 UTC 2026","passed","Fri Apr 24 01:27:18 UTC 2026","","test_04_compra_saucedemo","",""
"","653","test_login_and_purchase","","Fri Apr 24 01:27:19 UTC 2026","failed","Fri Apr 24 01:27:19 UTC 2026","","test_05_compra_saucedemo_error","",""
