"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_text_box_submission","","Mon May 11 01:59:32 UTC 2026","broken","Mon May 11 01:59:32 UTC 2026","","test_01_xpath","",""
"","619","test_login_and_purchase","","Mon May 11 01:59:44 UTC 2026","failed","Mon May 11 01:59:44 UTC 2026","","test_05_compra_saucedemo_error","",""
"","0","test_google_search_urquiza","","Mon May 11 01:59:37 UTC 2026","broken","Mon May 11 01:59:37 UTC 2026","","test_03_google_búsqueda","",""
"","3241","test_login_and_purchase","","Mon May 11 01:59:40 UTC 2026","passed","Mon May 11 01:59:43 UTC 2026","","test_04_compra_saucedemo","",""
"","0","test_submit_textbox_form","","Mon May 11 01:59:37 UTC 2026","broken","Mon May 11 01:59:37 UTC 2026","","test_02_xpath_simple","",""
"","935","test_carrito_suma_total","","Mon May 11 01:59:45 UTC 2026","passed","Mon May 11 01:59:46 UTC 2026","","test_06_validacion_carrito","",""
