"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","713","test_login_and_purchase","","Tue May 19 02:08:12 UTC 2026","failed","Tue May 19 02:08:13 UTC 2026","","test_05_compra_saucedemo_error","",""
"","0","test_text_box_submission","","Tue May 19 02:07:56 UTC 2026","broken","Tue May 19 02:07:56 UTC 2026","","test_01_xpath","",""
"","4401","test_login_and_purchase","","Tue May 19 02:08:08 UTC 2026","passed","Tue May 19 02:08:12 UTC 2026","","test_04_compra_saucedemo","",""
"","0","test_submit_textbox_form","","Tue May 19 02:08:02 UTC 2026","broken","Tue May 19 02:08:02 UTC 2026","","test_02_xpath_simple","",""
"","1022","test_carrito_suma_total","","Tue May 19 02:08:14 UTC 2026","passed","Tue May 19 02:08:15 UTC 2026","","test_06_validacion_carrito","",""
"","0","test_google_search_urquiza","","Tue May 19 02:08:02 UTC 2026","broken","Tue May 19 02:08:02 UTC 2026","","test_03_google_búsqueda","",""
