"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_google_search_urquiza","","Thu May 21 02:06:40 UTC 2026","broken","Thu May 21 02:06:40 UTC 2026","","test_03_google_búsqueda","",""
"","0","test_submit_textbox_form","","Thu May 21 02:06:40 UTC 2026","broken","Thu May 21 02:06:40 UTC 2026","","test_02_xpath_simple","",""
"","903","test_carrito_suma_total","","Thu May 21 02:06:46 UTC 2026","passed","Thu May 21 02:06:47 UTC 2026","","test_06_validacion_carrito","",""
"","0","test_text_box_submission","","Thu May 21 02:06:38 UTC 2026","broken","Thu May 21 02:06:38 UTC 2026","","test_01_xpath","",""
"","3458","test_login_and_purchase","","Thu May 21 02:06:41 UTC 2026","passed","Thu May 21 02:06:44 UTC 2026","","test_04_compra_saucedemo","",""
"","610","test_login_and_purchase","","Thu May 21 02:06:45 UTC 2026","failed","Thu May 21 02:06:45 UTC 2026","","test_05_compra_saucedemo_error","",""
