"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3197","test_login_and_purchase","","Tue May 05 01:49:14 UTC 2026","passed","Tue May 05 01:49:17 UTC 2026","","test_04_compra_saucedemo","",""
"","1023","test_carrito_suma_total","","Tue May 05 01:49:19 UTC 2026","passed","Tue May 05 01:49:20 UTC 2026","","test_06_validacion_carrito","",""
"","687","test_login_and_purchase","","Tue May 05 01:49:18 UTC 2026","failed","Tue May 05 01:49:18 UTC 2026","","test_05_compra_saucedemo_error","",""
"","0","test_text_box_submission","","Tue May 05 01:49:08 UTC 2026","broken","Tue May 05 01:49:08 UTC 2026","","test_01_xpath","",""
"","0","test_google_search_urquiza","","Tue May 05 01:49:12 UTC 2026","broken","Tue May 05 01:49:12 UTC 2026","","test_03_google_búsqueda","",""
"","0","test_submit_textbox_form","","Tue May 05 01:49:12 UTC 2026","broken","Tue May 05 01:49:12 UTC 2026","","test_02_xpath_simple","",""
