"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4032","test_login_and_purchase","","2026-06-30","passed","2026-06-30","","test_04_compra_saucedemo","",""
"","0","test_google_search_urquiza","","2026-06-30","broken","2026-06-30","","test_03_google_búsqueda","",""
"","735","test_login_and_purchase","","2026-06-30","failed","2026-06-30","","test_05_compra_saucedemo_error","",""
"","0","test_text_box_submission","","2026-06-30","broken","2026-06-30","","test_01_xpath","",""
"","0","test_submit_textbox_form","","2026-06-30","broken","2026-06-30","","test_02_xpath_simple","",""
"","1012","test_carrito_suma_total","","2026-06-30","passed","2026-06-30","","test_06_validacion_carrito","",""
