"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_google_search_urquiza","","Tue Apr 07 05:59:12 UTC 2026","broken","Tue Apr 07 05:59:12 UTC 2026","","test_03_google_búsqueda","",""
"","0","test_submit_textbox_form","","Tue Apr 07 05:59:11 UTC 2026","broken","Tue Apr 07 05:59:11 UTC 2026","","test_02_xpath_simple","",""
"","0","test_text_box_submission","","Tue Apr 07 05:59:11 UTC 2026","broken","Tue Apr 07 05:59:11 UTC 2026","","test_01_xpath","",""
"","3007","test_login_and_purchase","","Tue Apr 07 05:59:12 UTC 2026","passed","Tue Apr 07 05:59:15 UTC 2026","","test_04_compra_saucedemo","",""
"","895","test_carrito_suma_total","","Tue Apr 07 05:59:17 UTC 2026","passed","Tue Apr 07 05:59:18 UTC 2026","","test_06_validacion_carrito","",""
"","605","test_login_and_purchase","","Tue Apr 07 05:59:16 UTC 2026","failed","Tue Apr 07 05:59:16 UTC 2026","","test_05_compra_saucedemo_error","",""
