"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","665","test_login_and_purchase","","Sat Mar 28 05:14:56 UTC 2026","failed","Sat Mar 28 05:14:57 UTC 2026","","test_05_compra_saucedemo_error","",""
"","0","test_google_search_urquiza","","Sat Mar 28 05:14:50 UTC 2026","broken","Sat Mar 28 05:14:50 UTC 2026","","test_03_google_búsqueda","",""
"","0","test_submit_textbox_form","","Sat Mar 28 05:14:50 UTC 2026","broken","Sat Mar 28 05:14:50 UTC 2026","","test_02_xpath_simple","",""
"","950","test_carrito_suma_total","","Sat Mar 28 05:14:57 UTC 2026","passed","Sat Mar 28 05:14:58 UTC 2026","","test_06_validacion_carrito","",""
"","3144","test_login_and_purchase","","Sat Mar 28 05:14:53 UTC 2026","passed","Sat Mar 28 05:14:56 UTC 2026","","test_04_compra_saucedemo","",""
"","0","test_text_box_submission","","Sat Mar 28 05:14:46 UTC 2026","broken","Sat Mar 28 05:14:46 UTC 2026","","test_01_xpath","",""
