"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","969","test_carrito_suma_total","","2026-06-23","passed","2026-06-23","","test_06_validacion_carrito","",""
"","0","test_google_search_urquiza","","2026-06-23","broken","2026-06-23","","test_03_google_búsqueda","",""
"","0","test_text_box_submission","","2026-06-23","broken","2026-06-23","","test_01_xpath","",""
"","4106","test_login_and_purchase","","2026-06-23","passed","2026-06-23","","test_04_compra_saucedemo","",""
"","711","test_login_and_purchase","","2026-06-23","failed","2026-06-23","","test_05_compra_saucedemo_error","",""
"","0","test_submit_textbox_form","","2026-06-23","broken","2026-06-23","","test_02_xpath_simple","",""
