"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1045","test_carrito_suma_total","","Sat May 23 01:57:00 UTC 2026","passed","Sat May 23 01:57:01 UTC 2026","","test_06_validacion_carrito","",""
"","0","test_google_search_urquiza","","Sat May 23 01:56:50 UTC 2026","broken","Sat May 23 01:56:50 UTC 2026","","test_03_google_búsqueda","",""
"","0","test_submit_textbox_form","","Sat May 23 01:56:50 UTC 2026","broken","Sat May 23 01:56:50 UTC 2026","","test_02_xpath_simple","",""
"","747","test_login_and_purchase","","Sat May 23 01:56:59 UTC 2026","failed","Sat May 23 01:57:00 UTC 2026","","test_05_compra_saucedemo_error","",""
"","0","test_text_box_submission","","Sat May 23 01:56:45 UTC 2026","broken","Sat May 23 01:56:45 UTC 2026","","test_01_xpath","",""
"","4524","test_login_and_purchase","","Sat May 23 01:56:54 UTC 2026","passed","Sat May 23 01:56:59 UTC 2026","","test_04_compra_saucedemo","",""
