"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_google_search_urquiza","","2026-05-31","broken","2026-05-31","","test_03_google_búsqueda","",""
"","0","test_text_box_submission","","2026-05-31","broken","2026-05-31","","test_01_xpath","",""
"","0","test_submit_textbox_form","","2026-05-31","broken","2026-05-31","","test_02_xpath_simple","",""
"","4398","test_login_and_purchase","","2026-05-31","passed","2026-05-31","","test_04_compra_saucedemo","",""
"","869","test_carrito_suma_total","","2026-05-31","passed","2026-05-31","","test_06_validacion_carrito","",""
"","594","test_login_and_purchase","","2026-05-31","failed","2026-05-31","","test_05_compra_saucedemo_error","",""
