"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_submit_textbox_form","","Wed Mar 25 05:16:38 UTC 2026","broken","Wed Mar 25 05:16:38 UTC 2026","","test_02_xpath_simple","",""
"","0","test_text_box_submission","","Wed Mar 25 05:16:35 UTC 2026","broken","Wed Mar 25 05:16:35 UTC 2026","","test_01_xpath","",""
"","0","test_google_search_urquiza","","Wed Mar 25 05:16:39 UTC 2026","broken","Wed Mar 25 05:16:39 UTC 2026","","test_03_google_búsqueda","",""
"","909","test_carrito_suma_total","","Wed Mar 25 05:16:47 UTC 2026","passed","Wed Mar 25 05:16:48 UTC 2026","","test_06_validacion_carrito","",""
"","608","test_login_and_purchase","","Wed Mar 25 05:16:46 UTC 2026","failed","Wed Mar 25 05:16:46 UTC 2026","","test_05_compra_saucedemo_error","",""
"","3829","test_login_and_purchase","","Wed Mar 25 05:16:42 UTC 2026","passed","Wed Mar 25 05:16:45 UTC 2026","","test_04_compra_saucedemo","",""
