"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_text_box_submission","","Sun Apr 19 01:27:30 UTC 2026","broken","Sun Apr 19 01:27:30 UTC 2026","","test_01_xpath","",""
"","0","test_google_search_urquiza","","Sun Apr 19 01:27:31 UTC 2026","broken","Sun Apr 19 01:27:31 UTC 2026","","test_03_google_búsqueda","",""
"","691","test_login_and_purchase","","Sun Apr 19 01:27:35 UTC 2026","failed","Sun Apr 19 01:27:36 UTC 2026","","test_05_compra_saucedemo_error","",""
"","1012","test_carrito_suma_total","","Sun Apr 19 01:27:36 UTC 2026","passed","Sun Apr 19 01:27:37 UTC 2026","","test_06_validacion_carrito","",""
"","3109","test_login_and_purchase","","Sun Apr 19 01:27:32 UTC 2026","passed","Sun Apr 19 01:27:35 UTC 2026","","test_04_compra_saucedemo","",""
"","0","test_submit_textbox_form","","Sun Apr 19 01:27:31 UTC 2026","broken","Sun Apr 19 01:27:31 UTC 2026","","test_02_xpath_simple","",""
