"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_google_search_urquiza","","Wed Mar 18 23:00:59 UTC 2026","broken","Wed Mar 18 23:00:59 UTC 2026","","test_03_google_búsqueda","",""
"","0","test_text_box_submission","","Wed Mar 18 23:00:53 UTC 2026","broken","Wed Mar 18 23:00:53 UTC 2026","","test_01_xpath","",""
"","3953","test_login_and_purchase","","Wed Mar 18 23:01:03 UTC 2026","passed","Wed Mar 18 23:01:07 UTC 2026","","test_04_compra_saucedemo","",""
"","618","test_login_and_purchase","","Wed Mar 18 23:01:07 UTC 2026","failed","Wed Mar 18 23:01:08 UTC 2026","","test_05_compra_saucedemo_error","",""
"","0","test_submit_textbox_form","","Wed Mar 18 23:00:58 UTC 2026","broken","Wed Mar 18 23:00:58 UTC 2026","","test_02_xpath_simple","",""
