"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","602","test_login_and_purchase","","Sat May 02 01:45:03 UTC 2026","failed","Sat May 02 01:45:04 UTC 2026","","test_05_compra_saucedemo_error","",""
"","0","test_google_search_urquiza","","Sat May 02 01:44:58 UTC 2026","broken","Sat May 02 01:44:58 UTC 2026","","test_03_google_búsqueda","",""
"","877","test_carrito_suma_total","","Sat May 02 01:45:04 UTC 2026","passed","Sat May 02 01:45:05 UTC 2026","","test_06_validacion_carrito","",""
"","3108","test_login_and_purchase","","Sat May 02 01:45:00 UTC 2026","passed","Sat May 02 01:45:03 UTC 2026","","test_04_compra_saucedemo","",""
"","0","test_text_box_submission","","Sat May 02 01:44:53 UTC 2026","broken","Sat May 02 01:44:53 UTC 2026","","test_01_xpath","",""
"","0","test_submit_textbox_form","","Sat May 02 01:44:58 UTC 2026","broken","Sat May 02 01:44:58 UTC 2026","","test_02_xpath_simple","",""
